CELL	MARKER
T_cells_Th2	Ccr4
T_cells_Th2	Ccr8
T_cells_Th2	Gata3
T_cells_Th2	Il4
T_cells_Th2	Il5
T_cells_Th2	Il13
T_cells_Th22	Ccr4
T_cells_Th22	Ccr10
T_cells_Th22	Ccr6
T_cells_Th22	Ahr
T_cells_Th22	Il22
T_cells_Th22	Tnf
T_cells_Th22	Il13
T_cells_Th9	Ccr6
T_cells_Th9	Ccr3
T_cells_Th9	Cxcr3
T_cells_Th9	Il9
T_cells_Tr1	Ctla4
T_cells_Tr1	Lag3
T_cells_Tr1	Pdcd1
T_cells_Tr1	Tgfb1
T_cells_Tr1	Il10
T_cells_tTreg	Ctla4
T_cells_tTreg	Lag3
T_cells_tTreg	Foxp3
T_cells_tTreg	Tgfb1
T_cells_tTreg	Il10
additional	Rps6ka2
additional	Adcy1
additional	Adcy5
additional	Adcy3
additional	Adcy6
additional	Adcy8
additional	Adcy10
additional	Adcy9
additional	Adcy7
additional	Adcy4
additional	Adcy2
additional	Prkaa1
additional	Prkaa2
additional	Prkag1
additional	Prkab1
additional	Prkag3
additional	Prkab2
additional	Prkag2
additional	Prkaca-ps1
additional	Prkar1b-rs
additional	Prkaca
additional	Prkar1a
additional	Prkar2a
additional	Prkar2b
additional	Prkacb
additional	Prkag2os1
additional	Prkar1b
additional	Adcy1
additional	Adcy10
additional	Adcy2
additional	Adcy3
additional	Adcy4
additional	Adcy5
additional	Adcy6
additional	Adcy7
additional	Adcy8
additional	Adcy9
additional	Prkaa1
additional	Prkaa2
additional	Prkab1
additional	Prkab2
additional	Prkaca
additional	Prkaca-ps1
additional	Prkacb
additional	Prkag1
additional	Prkag2
additional	Prkag2os1
additional	Prkag3
additional	Prkar1a
additional	Prkar1b
additional	Prkar1b-rs
additional	Prkar2a
additional	Prkar2b
additional	Cdkn2a
additional	Cdkn1a
additional	Lhx2
additional	Creb1
additional	Rapgef3
